gene	sample1	sample2
ENSG00000012211	2.406396834	3.05020986
ENSG00000012223	2.146014839	0.763775335
ENSG00000012232	3.217695317	3.310776057
ENSG00000012504	0.032462995	0
ENSG00000012660	31.69641555	20.23930209
ENSG00000012779	167.4677023	35.18166681
ENSG00000012817	10.69111243	0
ENSG00000012822	16.04779808	20.86916151
ENSG00000012963	11.03759412	11.13881846
ENSG00000012983	6.235195599	5.248226485
ENSG00000013016	1.990174069	2.055932726
ENSG00000013275	32.40793494	35.35531789
ENSG00000013288	12.28425672	11.70301029
ENSG00000013293	0	0.002124246
ENSG00000013297	0.555970309	0.278086979
ENSG00000013306	38.30833347	36.18691357
ENSG00000013364	54.77221006	58.90656353
ENSG00000013374	25.91201296	20.71059513
ENSG00000013375	6.411835122	5.546043363
ENSG00000013392	2.845764027	2.109593603
ENSG00000013441	29.55939149	16.64163215
ENSG00000013503	2.506980242	2.371298819
ENSG00000013523	4.735744943	4.362789417
ENSG00000013561	11.93394717	11.23348834
ENSG00000013563	6.79526509	8.268349972
ENSG00000013573	0.933174044	1.216470043
ENSG00000013583	13.51928669	20.72320118
ENSG00000013588	43.94587307	73.75865171
ENSG00000013619	2.135695508	3.46425817
ENSG00000013725	6.363995569	1.978244305
ENSG00000013810	6.290088936	1.041444943
ENSG00000014123	11.22406551	13.5683825
ENSG00000014138	3.259079968	2.700554403
ENSG00000014164	6.631713725	7.979479882
ENSG00000014216	41.88146969	45.58954079
ENSG00000014257	2.131557137	1.282287883
ENSG00000014641	27.27175982	25.40096043
ENSG00000014824	12.19939781	10.22619655
ENSG00000014914	5.787882228	3.443203146
ENSG00000014919	8.66260909	7.75245266
ENSG00000015133	4.116741612	0.801016938
ENSG00000015153	1.623992642	2.011852432
ENSG00000015171	22.35540099	28.07787966
ENSG00000015285	16.07969067	4.138369489
ENSG00000015413	1.166661657	0.349050844
ENSG00000015475	8.174578973	12.06320872
ENSG00000015479	0.700615129	0.647349626
ENSG00000015520	0.018331296	0.004230292
ENSG00000015532	6.970272209	6.967327572
ENSG00000015568	0	0
ENSG00000015592	0	0
ENSG00000015676	9.796101217	10.45076733
ENSG00000016082	0	0
ENSG00000016391	1.158256904	1.225713667
ENSG00000016402	0.047493431	0.173794336
ENSG00000016490	0	0
ENSG00000016602	0.032585426	0.006445458
ENSG00000016864	15.72228853	14.92418616
ENSG00000017260	12.23805623	12.28041739
ENSG00000017427	0.251989778	0.063188119
ENSG00000017483	18.58441196	25.1233674
ENSG00000017797	20.48047734	14.93288559
ENSG00000018189	7.110344143	8.083092548
ENSG00000018236	0.603973641	0.004448243
ENSG00000018280	5.467030946	0.950056429
ENSG00000018408	3.759260152	6.612694671
ENSG00000018510	5.903955127	4.332641351
ENSG00000018607	0.018090186	0
ENSG00000018610	10.07539205	10.71692595
ENSG00000018625	0.779624388	0.328076654
ENSG00000018699	7.03807054	5.018990763
ENSG00000018869	1.202252144	2.254909648
ENSG00000019102	16.5166175	28.49331304
ENSG00000019144	2.455431662	3.223387644
ENSG00000019169	134.1025295	5.241789266
ENSG00000019186	2.064326112	2.559038934
ENSG00000019485	0.990081803	2.133541597
ENSG00000019505	0.032541656	1.916996001
ENSG00000019549	3.269670272	1.255940615
ENSG00000019582	1774.881547	1865.149392
ENSG00000019991	0.389562197	0.148582756
ENSG00000019995	3.962635113	3.251249889
ENSG00000020129	6.791074859	11.05678324
ENSG00000020181	5.317607665	2.757914154
ENSG00000020219	0.009585421	0.019908147
ENSG00000020256	2.524887841	2.102040844
ENSG00000020426	3.238260261	2.825329205
ENSG00000020577	6.066361697	4.584069245
ENSG00000020633	9.603472871	1.758536851
ENSG00000020922	3.399522103	2.674247491
ENSG00000021300	1.688196083	6.953944421
